"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"1513","501 WEST  173 STREET","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021300048,"01/03/2018","Open","Site to be cleaned.","",1002267,246431,0,"in process","2018/01",NA,"Wednesday",1,"1002267,246431",2
"1514","121 CHRYSTIE STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004230020,"01/21/2018","Open","Site to be cleaned.","",986059,201178,0,"in process","2018/01",NA,"Sunday",0,"986059,201178",2
"1515","1697 AMSTERDAM AVENUE","MANHATTAN","09 MANHATTAN","Precinct 30",7,1020590032,"12/07/2017","Open","Site to be cleaned.","",998637,239727,0,"in process","2017/12",NA,"Thursday",1,"998637,239727",2
"1516","590 WEST  174 STREET","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021300008,"12/07/2017","Open","Site to be cleaned.","",1001766,247006,0,"in process","2017/12",NA,"Thursday",1,"1001766,247006",1
"1517","234 EAST    4 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003990026,"12/20/2017","Open","Site to be cleaned.","",988985,202845,0,"in process","2017/12",NA,"Wednesday",1,"988985,202845",1
"1518","2516 7 AVENUE","MANHATTAN","10 MANHATTAN","Precinct 32",9,1020310037,"11/28/2017","Open","Site to be cleaned.","",1001206,238803,0,"in process","2017/11",NA,"Tuesday",1,"1001206,238803",1
"1519","137 EAST BROADWAY","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002830036,"12/18/2017","Open","Site to be cleaned.","",986564,199377,0,"in process","2017/12",NA,"Monday",1,"986564,199377",1
"1521","18 WEST   27 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",3,1008280059,"10/08/2017","Open","Site downloaded for cleaning","",987208,210597,0,"in process","2017/10",NA,"Sunday",0,"987208,210597",1
"1522","573 WEST SIDE HIGHWAY","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006440001,"10/04/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","11/14/2017",981736,209041,1,"Cleaning crew dispatched.  Cannot locate property.","2017/10",41,"Wednesday",1,"981736,209041",1
"1523","55 CROSBY STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1004820008,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/13/2017",984660,202325,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",76,"Saturday",1,"984660,202325",1
"1524","264 BROOME STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004140061,"06/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",986901,200935,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",80,"Monday",1,"986901,200935",1
"1525","419 BROADWAY","MANHATTAN","02 MANHATTAN","Precinct 1",1,1002310012,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/13/2017",983740,201397,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",46,"Saturday",1,"983740,201397",1
"1526","2526 BROADWAY","MANHATTAN","07 MANHATTAN","Precinct 24",6,1012420039,"08/03/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/11/2017",991854,228410,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",39,"Thursday",1,"991854,228410",1
"1527","620 9 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 14",3,1010340061,"05/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/07/2017",986538,216031,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",69,"Tuesday",1,"986538,216031",2
