"","INCIDENT_ADDRESS","BOROUGH","COMMUNITY_BOARD","POLICE_PRECINCT","CITY_COUNCIL_DISTRICT","BBL","CREATED_DATE","STATUS","RESOLUTION_ACTION","CLOSED_DATE","X_COORDINATE","Y_COORDINATE","dispatched","resolution","date","responseTime","dow","weekday","latlong","count"
"1","223 EAST HOUSTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004120061,"05/19/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/26/2017",987992,202427,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",38,"Friday",1,"987992,202427",4
"2","24 EAST   37 STREET","MANHATTAN","06 MANHATTAN","Precinct 17",4,1008660058,"03/27/2017","Closed","Cleaning crew dispatched. No graffiti on property.","06/08/2017",989433,212355,1,"Cleaning crew dispatched. No graffiti on property.","2017/03",73,"Monday",1,"989433,212355",1
"3","77 ELDRIDGE STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1003060030,"10/11/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/14/2017",986309,200495,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",34,"Wednesday",1,"986309,200495",2
"5","32 2 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004430008,"10/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/02/2017",986887,203310,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",25,"Sunday",0,"986887,203310",1
"6","1261 BROADWAY","MANHATTAN","05 MANHATTAN","Precinct 14",3,1008330006,"07/11/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/29/2017",987504,211753,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",80,"Tuesday",1,"987504,211753",2
"7","34 SPRING STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1004800021,"08/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",985433,202219,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",44,"Tuesday",1,"985433,202219",2
"8","146 ESSEX STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003540108,"07/24/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/10/2017",987796,201760,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",17,"Monday",1,"987796,201760",1
"9","46 DELANCY STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004200074,"08/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/05/2017",986569,201446,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",40,"Saturday",1,"986569,201446",3
"10","94 ALLEN STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004140057,"11/06/2017","Closed","Cleaning crew dispatched.  Owner refused.","11/27/2017",986818,201042,1,"Cleaning crew dispatched.  Owner refused.","2017/11",21,"Monday",1,"986818,201042",4
"11","331 WEST   38 STREET","MANHATTAN","04 MANHATTAN","Precinct 14",3,1007620017,"08/12/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/27/2017",986283,214399,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",107,"Saturday",1,"986283,214399",1
"12","395 WEST STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006360007,"04/18/2017","Closed","Cleaning crew dispatched. No graffiti on property.","07/10/2017",981400,206341,1,"Cleaning crew dispatched. No graffiti on property.","2017/04",83,"Tuesday",1,"981400,206341",1
"13","599 WEST  176 STREET","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021330030,"05/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/29/2017",1001995,247513,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",30,"Tuesday",1,"1001995,247513",2
"14","4091A BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021420109,"04/15/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/12/2017",1001149,246931,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",58,"Saturday",1,"1001149,246931",2
"15","42 CLINTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003440146,"03/27/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",988507,201552,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",74,"Monday",1,"988507,201552",2
"16","221 MULBERRY STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1004950038,"05/02/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/08/2017",985326,202450,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",37,"Tuesday",1,"985326,202450",1
"17","38 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003100003,"03/13/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/12/2017",986920,200188,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",60,"Monday",1,"986920,200188",3
"18","69 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004080019,"03/13/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/10/2017",987094,200645,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",58,"Monday",1,"987094,200645",2
"19","108 BOWERY","MANHATTAN","02 MANHATTAN","Precinct 5",1,1002390027,"10/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/09/2017",985608,200835,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",24,"Monday",1,"985608,200835",1
"20","101 AUDUBON AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",10,1021270029,"10/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/03/2017",1001597,246017,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",28,"Friday",1,"1001597,246017",1
"21","100 DELANCY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100071,"10/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/03/2017",987331,201143,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",26,"Sunday",0,"987331,201143",4
"22","101 DELANCY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004090043,"09/26/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/17/2017",987351,201128,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",21,"Tuesday",1,"987351,201128",2
"23","149 AVENUE A","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004370029,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/12/2017",989096,204314,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",75,"Saturday",1,"989096,204314",1
"24","441 3 AVENUE","MANHATTAN","06 MANHATTAN","Precinct 17",2,1009110065,"07/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/29/2017",989873,210167,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",84,"Friday",1,"989873,210167",1
"25","97 CLINTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003480027,"08/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/27/2017",988299,201034,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",40,"Friday",1,"988299,201034",3
"26","110 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100037,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/14/2017",987375,201349,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",47,"Saturday",1,"987375,201349",3
"27","550 WEST  157 STREET","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021150005,"06/21/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/11/2017",999904,242928,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",82,"Wednesday",1,"999904,242928",3
"28","27 PRINCE STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1005080051,"06/11/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/31/2017",985736,202661,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",50,"Sunday",0,"985736,202661",1
"29","301 WEST   22 STREET","MANHATTAN","04 MANHATTAN","Precinct 10",3,1007460038,"06/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/28/2017",984418,210633,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",35,"Friday",1,"984418,210633",1
"30","180 SPRING STREET","MANHATTAN","02 MANHATTAN","Precinct 1",1,1004880015,"05/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/21/2017",983551,203350,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",74,"Monday",1,"983551,203350",1
"31","301 ELIZABETH STREET","MANHATTAN","02 MANHATTAN","Precinct 9",1,1005210045,"08/04/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/12/2017",986125,203415,1,"Cleaning crew dispatched. No graffiti on property.","2017/08",39,"Friday",1,"986125,203415",1
"32","215 WEST   83 STREET","MANHATTAN","07 MANHATTAN","Precinct 20",6,1012310026,"03/22/2017","Closed","Cleaning crew dispatched. No graffiti on property.","06/06/2017",990576,225656,1,"Cleaning crew dispatched. No graffiti on property.","2017/03",76,"Wednesday",1,"990576,225656",1
"33","329 WEST   87 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",6,1012490019,"02/15/2017","Closed","Cleaning crew dispatched. No graffiti on property.","06/06/2017",990278,227072,1,"Cleaning crew dispatched. No graffiti on property.","2017/02",111,"Wednesday",1,"990278,227072",1
"34","19 JONES STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1005900082,"10/16/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/03/2017",983661,206024,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",18,"Monday",1,"983661,206024",1
"35","504 EAST   63 STREET","MANHATTAN","08 MANHATTAN","Precinct 19",5,1014750005,"08/01/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/12/2017",995961,216570,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",72,"Tuesday",1,"995961,216570",2
"36","71 READE STREET","MANHATTAN","01 MANHATTAN","Precinct 1",1,1001497503,"05/27/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/27/2017",982359,199805,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",61,"Saturday",1,"982359,199805",1
"37","311 EAST   11 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004537501,"05/11/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/27/2017",988286,205232,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",77,"Thursday",1,"988286,205232",1
"38","1285 6 AVENUE","MANHATTAN","05 MANHATTAN","Precinct 18",4,1010040029,"01/02/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",989841,216440,0,"in process","2018/01",NA,"Tuesday",1,"989841,216440",1
"39","36 WEST   37 STREET","MANHATTAN","05 MANHATTAN","Precinct 14",4,1008380070,"11/16/2017","Open","Site downloaded for cleaning","",988555,212841,0,"in process","2017/11",NA,"Thursday",1,"988555,212841",1
"40","2342 FREDRICK DOUGLAS BOULEVARD","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019310061,"11/16/2017","Open","Site downloaded for cleaning","",997857,234604,0,"in process","2017/11",NA,"Thursday",1,"997857,234604",2
"41","100 HESTER STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1003010003,"01/11/2018","Open","Site to be cleaned.","",986165,200336,0,"in process","2018/01",NA,"Thursday",1,"986165,200336",1
"42","141 CHRYSTIE STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004240027,"01/14/2018","Open","Site to be cleaned.","",986171,201468,0,"in process","2018/01",NA,"Sunday",0,"986171,201468",2
"43","126 DELANCEY STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003530041,"12/14/2017","Open","Site to be cleaned.","",987668,201009,0,"in process","2017/12",NA,"Thursday",1,"987668,201009",1
"44","100 WEST   14 STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006090038,"12/18/2017","Open","Site to be cleaned.","",985006,207980,0,"in process","2017/12",NA,"Monday",1,"985006,207980",3
"45","4425 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021800488,"12/15/2017","Open","Site to be cleaned.","",1002780,251145,0,"in process","2017/12",NA,"Friday",1,"1002780,251145",1
"46","958 6 AVENUE","MANHATTAN","05 MANHATTAN","Precinct 14",4,1008360083,"11/22/2017","Open","Site to be cleaned.","",987754,212650,0,"in process","2017/11",NA,"Wednesday",1,"987754,212650",1
"47","10 ST NICHLAS TERRACE","MANHATTAN","09 MANHATTAN","Precinct 26",9,1019540016,"02/01/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",997572,235398,0,"in process","2018/02",NA,"Thursday",1,"997572,235398",2
"48","2 EAST   67 STREET","MANHATTAN","08 MANHATTAN","Precinct 19",4,1013810069,"10/06/2017","Open","Site downloaded for cleaning","",992801,219505,0,"in process","2017/10",NA,"Friday",1,"992801,219505",1
"49","4 LEXINGTON AVENUE","MANHATTAN","06 MANHATTAN","Precinct 13",2,1008770074,"11/27/2017","Open","Site to be cleaned.","",988264,208318,0,"in process","2017/11",NA,"Monday",1,"988264,208318",1
"50","207 CABRINI BOULEVARD","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021790155,"07/14/2017","Open","Notice of Intent to Clean and Forever graffiti free form sent","",1001163,250555,0,"in process","2017/07",NA,"Friday",1,"1001163,250555",1
"51","83 EAST HOUSTON STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,NA,"04/24/2017","Open","Property Research Required","",986179,203151,0,"in process","2017/04",NA,"Monday",1,"986179,203151",1
"52","170 9 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 10",3,1007440003,"01/03/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",983560,210657,0,"in process","2018/01",NA,"Wednesday",1,"983560,210657",1
"53","576 9 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 14",3,1010320162,"01/03/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",986259,215529,0,"in process","2018/01",NA,"Wednesday",1,"986259,215529",1
"54","21 EAST THIRD STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004590039,"01/25/2018","Open","Notice of Intent to Clean and Forever graffiti free form sent","",986834,203753,0,"in process","2018/01",NA,"Thursday",1,"986834,203753",1
"55","51 MACDOUGAL STREET","MANHATTAN","02 MANHATTAN","Precinct 1",3,1005200079,"11/22/2017","Open","Site downloaded for cleaning","",983605,204448,0,"in process","2017/11",NA,"Wednesday",1,"983605,204448",3
"56","146 3 AVENUE","MANHATTAN","06 MANHATTAN","Precinct 13",2,1008710039,"10/15/2017","Open","Site downloaded for cleaning","",987968,206738,0,"in process","2017/10",NA,"Sunday",0,"987968,206738",1
"57","96 AVENUE A","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004020001,"08/04/2017","Open","Site downloaded for cleaning","",988725,203631,0,"in process","2017/08",NA,"Friday",1,"988725,203631",1
"58","77 AVENUE C","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003870140,"01/29/2018","Open","Site to be cleaned.","",989898,202704,0,"in process","2018/01",NA,"Monday",1,"989898,202704",1
"59","26 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002977501,"01/25/2018","Open","Site to be cleaned.","",986830,199957,0,"in process","2018/01",NA,"Thursday",1,"986830,199957",3
"60","146 EAST BROADWAY","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002830064,"01/09/2018","Open","Site to be cleaned.","",986720,199400,0,"in process","2018/01",NA,"Tuesday",1,"986720,199400",1
"61","246 BOWERY","MANHATTAN","02 MANHATTAN","Precinct 5",1,1005070041,"12/18/2017","Open","Site to be cleaned.","",986155,202595,0,"in process","2017/12",NA,"Monday",1,"986155,202595",4
"62","130 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004100004,"12/14/2017","Open","Site to be cleaned.","",987195,201508,0,"in process","2017/12",NA,"Thursday",1,"987195,201508",2
"63","864 10 AVENUE","MANHATTAN","04 MANHATTAN","Precinct 18",3,1010660064,"12/18/2017","Open","Site to be cleaned.","",987369,219390,0,"in process","2017/12",NA,"Monday",1,"987369,219390",1
"64","203 MADISON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002710034,"12/15/2017","Open","Site to be cleaned.","",987086,198922,0,"in process","2017/12",NA,"Friday",1,"987086,198922",2
"65","102 AVENUE B","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004020039,"12/20/2017","Open","Site to be cleaned.","",989403,203347,0,"in process","2017/12",NA,"Wednesday",1,"989403,203347",1
"66","76 ORCHARD STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004080005,"12/14/2017","Open","Site to be cleaned.","",986891,200729,0,"in process","2017/12",NA,"Thursday",1,"986891,200729",1
"67","525 EDGECOMBE AVENUE","MANHATTAN","12 MANHATTAN","Precinct 33",7,1021080033,"12/19/2017","Open","Site to be cleaned.","",1000970,242725,0,"in process","2017/12",NA,"Tuesday",1,"1000970,242725",1
"68","92 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004110036,"11/16/2017","Open","Site to be cleaned.","",987374,201665,0,"in process","2017/11",NA,"Thursday",1,"987374,201665",3
"69","131 DIVISION STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002830083,"07/29/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","09/15/2017",986625,199575,1,"Cleaning crew dispatched.  Cannot locate property.","2017/07",48,"Saturday",1,"986625,199575",2
"71","20 WEST   37 STREET","MANHATTAN","05 MANHATTAN","Precinct 14",4,1008380062,"04/18/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/13/2017",988659,212783,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",56,"Tuesday",1,"988659,212783",1
"72","245 BOWERY","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004260017,"02/19/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/08/2017",986161,202593,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",109,"Sunday",0,"986161,202593",1
"73","104 WEST  147 STREET","MANHATTAN","10 MANHATTAN","Precinct 32",9,1020150006,"08/22/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/18/2017",1002036,238728,1,"Cleaning crew dispatched. No graffiti on property.","2017/08",27,"Tuesday",1,"1002036,238728",1
"74","43 WEST   36 STREET","MANHATTAN","05 MANHATTAN","Precinct 14",4,1008380015,"08/01/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/11/2017",988233,212732,1,"Cleaning crew dispatched. No graffiti on property.","2017/08",41,"Tuesday",1,"988233,212732",2
"75","342 CANAL STREET","MANHATTAN","01 MANHATTAN","Precinct 1",1,1002100004,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/08/2017",983393,201681,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",41,"Saturday",1,"983393,201681",1
"76","2168 3 AVENUE","MANHATTAN","11 MANHATTAN","Precinct 25",8,1017670033,"07/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","08/07/2017",1001172,230563,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",31,"Friday",1,"1001172,230563",1
"77","1970 SEVENTH AVENUE","MANHATTAN","10 MANHATTAN","Precinct 28",9,1019240034,"06/09/2017","Closed","Cleaning crew dispatched. No graffiti on property.","08/03/2017",997737,232541,1,"Cleaning crew dispatched. No graffiti on property.","2017/06",55,"Friday",1,"997737,232541",1
"78","43 LISPENARD STREET","MANHATTAN","01 MANHATTAN","Precinct 1",1,1002100010,"06/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/27/2017",983338,201499,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",29,"Wednesday",1,"983338,201499",2
"79","498 LAGUARDIA PLACE","MANHATTAN","02 MANHATTAN","Precinct 6",1,1005257502,"08/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/12/2017",984382,204292,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",38,"Saturday",1,"984382,204292",2
"80","40 PRINCE STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1004940015,"07/02/2017","Closed","Cleaning crew dispatched. No graffiti on property.","09/12/2017",985538,202761,1,"Cleaning crew dispatched. No graffiti on property.","2017/07",72,"Sunday",0,"985538,202761",2
"81","380 LENOX AVENUE","MANHATTAN","10 MANHATTAN","Precinct 32",9,1017277501,"07/24/2017","Closed","Cleaning crew dispatched.  Owner refused.","10/05/2017",999871,234525,1,"Cleaning crew dispatched.  Owner refused.","2017/07",73,"Monday",1,"999871,234525",2
"82","16 EAST   17 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",2,1008440033,"07/13/2017","Closed","Graffiti is intentional.","",986666,207974,0,"Graffiti is intentional","2017/07",NA,"Thursday",1,"986666,207974",1
"83","57 WEST   28 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",3,1008300006,"09/17/2017","Closed","Cleaning crew dispatched.  Property cleaned.","12/04/2017",987136,210940,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",78,"Sunday",0,"987136,210940",1
"84","827A LEXINGTON AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",4,1013987502,"10/20/2017","Closed","Cleaning crew dispatched. No graffiti on property.","12/04/2017",993613,217964,1,"Cleaning crew dispatched. No graffiti on property.","2017/10",45,"Friday",1,"993613,217964",2
"85","274 GRAND STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1004180057,"10/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/27/2017",986239,200808,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",50,"Sunday",0,"986239,200808",1
"86","254 WEST   14 STREET","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006180005,"04/23/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",983915,208582,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",47,"Sunday",0,"983915,208582",2
"87","204 WAVERLY PLACE","MANHATTAN","02 MANHATTAN","Precinct 6",3,1006110022,"05/03/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",983833,207002,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",37,"Wednesday",1,"983833,207002",1
"88","175 RIVINGTON STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003480053,"03/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/09/2017",988538,201195,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",73,"Tuesday",1,"988538,201195",2
"89","1237 2 AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",4,1014197501,"02/20/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/08/2017",994853,217705,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",108,"Monday",1,"994853,217705",2
"90","141 DIVISION STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002837501,"03/13/2017","Closed","Cleaning crew dispatched.  Property cleaned.","05/12/2017",986741,199591,1,"Cleaning crew dispatched.  Property cleaned.","2017/03",60,"Monday",1,"986741,199591",1
"91","169 EAST   86 STREET","MANHATTAN","08 MANHATTAN","Precinct 19",5,1015157503,"03/06/2017","Closed","Cleaning crew dispatched. No graffiti on property.","04/14/2017",996763,223158,1,"Cleaning crew dispatched. No graffiti on property.","2017/03",39,"Monday",1,"996763,223158",1
"92","27 WEST   27 STREET","MANHATTAN","05 MANHATTAN","Precinct 13",3,1008290021,"10/08/2017","Closed","Cleaning crew dispatched.  Owner refused.","11/14/2017",987224,210595,1,"Cleaning crew dispatched.  Owner refused.","2017/10",37,"Sunday",0,"987224,210595",2
"93","37 ALLEN STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1003000019,"10/06/2017","Closed","Cleaning crew dispatched.  Property cleaned.","11/14/2017",986457,200123,1,"Cleaning crew dispatched.  Property cleaned.","2017/10",39,"Friday",1,"986457,200123",1
"94","43 ESSEX STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1003100024,"08/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/25/2017",987190,200233,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",76,"Thursday",1,"987190,200233",2
"95","84 ELDRIDGE STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1003070011,"10/02/2017","Closed","Cleaning crew dispatched.  Owner refused.","10/24/2017",986336,200550,1,"Cleaning crew dispatched.  Owner refused.","2017/10",22,"Monday",1,"986336,200550",1
"96","135 DIVISION STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1002837502,"09/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/24/2017",986702,199584,1,"Cleaning crew dispatched.  Property cleaned.","2017/09",25,"Friday",1,"986702,199584",1
"97","4672 BROADWAY","MANHATTAN","12 MANHATTAN","Precinct 34",10,1021750010,"08/08/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/20/2017",1003715,253756,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",73,"Tuesday",1,"1003715,253756",1
"98","444 EAST   12 STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004390028,"07/30/2017","Closed","Cleaning crew dispatched.  Cannot locate property.","10/06/2017",989169,205040,1,"Cleaning crew dispatched.  Cannot locate property.","2017/07",68,"Sunday",0,"989169,205040",1
"99","145 WEST   14 STREET","MANHATTAN","04 MANHATTAN","Precinct 13",3,1007900010,"08/05/2017","Closed","Cleaning crew dispatched.  Property cleaned.","10/06/2017",984761,208121,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",62,"Saturday",1,"984761,208121",1
"100","211 1 AVENUE","MANHATTAN","03 MANHATTAN","Precinct 9",2,1004540038,"08/07/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/29/2017",988893,205391,1,"Cleaning crew dispatched.  Property cleaned.","2017/08",53,"Monday",1,"988893,205391",2
"101","1596 3 AVENUE","MANHATTAN","08 MANHATTAN","Precinct 19",5,1015180037,"07/03/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/11/2017",997455,223867,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",70,"Monday",1,"997455,223867",1
"102","103 MOSCO STREET","MANHATTAN","03 MANHATTAN","Precinct 5",1,1001640043,"05/10/2017","Closed","Cleaning crew dispatched.  Property cleaned.","07/27/2017",984414,199571,1,"Cleaning crew dispatched.  Property cleaned.","2017/05",78,"Wednesday",1,"984414,199571",1
"103","112 WEST   88 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",6,1012180136,"09/07/2017","Closed","Cleaning crew dispatched.  Owner refused.","11/15/2017",992032,226392,1,"Cleaning crew dispatched.  Owner refused.","2017/09",69,"Thursday",1,"992032,226392",1
"104","156 WEST   88 STREET","MANHATTAN","07 MANHATTAN","Precinct 24",6,1012180051,"06/30/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/11/2017",991785,226529,1,"Cleaning crew dispatched.  Property cleaned.","2017/06",73,"Friday",1,"991785,226529",1
"105","71 LUDLOW STREET","MANHATTAN","03 MANHATTAN","Precinct 7",1,1004087501,"07/29/2017","Closed","Cleaning crew dispatched.  Property cleaned.","09/15/2017",987104,200671,1,"Cleaning crew dispatched.  Property cleaned.","2017/07",48,"Saturday",1,"987104,200671",4
"106","250 EAST HOUSTON STREET","MANHATTAN","03 MANHATTAN","Precinct 9",2,1003977503,"04/28/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/20/2017",988319,202298,1,"Cleaning crew dispatched.  Property cleaned.","2017/04",53,"Friday",1,"988319,202298",2
"107","21 PRINCE STREET","MANHATTAN","02 MANHATTAN","Precinct 5",1,1005087503,"02/19/2017","Closed","Cleaning crew dispatched.  Property cleaned.","06/08/2017",985799,202627,1,"Cleaning crew dispatched.  Property cleaned.","2017/02",109,"Sunday",0,"985799,202627",1
