INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
187-72 HOLLIS AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4103530210,05/25/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/19/2017,1048112,198014
706 EAST  215 STREET,BRONX,12 BRONX,Precinct 47,12,2046620006,02/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/30/2017,1021908,260051
320 VAN BUREN STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016150034,02/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/30/2017,1002397,191051
1249 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032170003,03/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2017,1003956,193474
32 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,02,1003507502,02/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/19/2017,988581,201740
2186 CRUGER AVENUE,BRONX,11 BRONX,Precinct 49,13,2043190015,02/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,1021143,251170
3840 BOSTON ROAD,BRONX,12 BRONX,Precinct 47,12,2052590085,08/12/2017,Closed,Cleaning crew dispatched. No graffiti on property.,10/31/2017,1029267,260599
3836 DYRE AVENUE,BRONX,12 BRONX,Precinct 47,12,2049500001,07/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2017,1030900,262981
5571 BROADWAY,BRONX,08 BRONX,Precinct 50,11,2057010150,08/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2017,1010534,259428
167 NORTH    6 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3023280030,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/06/2017,995976,200468
