INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
40 WARSOFF PLACE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017170006,03/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2017,996990,193599
570 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018650062,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/16/2017,998220,186744
805 EAST  139 STREET,BRONX,01 BRONX,Precinct 40,17,2025910037,07/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2017,1009260,232359
2933 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,46,3073350046,04/17/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,06/20/2017,1000459,158047
2610 EAST   14 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074580009,05/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/20/2017,996706,153222
453 20 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008880064,09/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2017,988312,178788
149 PARK AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020300048,11/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2017,991567,192942
1772 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037620037,10/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2017,1020890,242248
1696 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36,3013350023,10/20/2017,Closed,Cleaning crew dispatched.  Owner refused.,11/20/2017,1002411,186164
420 JACKSON AVENUE,BRONX,01 BRONX,Precinct 40,08,2025780001,06/02/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,07/13/2017,1009094,234368
223 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004120061,05/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/26/2017,987992,202427
25-39 PARSONS BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,4047790009,05/25/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/21/2017,1032863,221920
87-87 FRANCIS LEWIS BOULEVARD,QUEENS,08 QUEENS,Precinct 107,23,4105890001,03/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/12/2017,1050878,202164
5602 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008400038,04/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/09/2017,980999,172565
24 EAST   37 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,04,1008660058,03/27/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/08/2017,989433,212355
1201 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029440011,04/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/30/2017,1003991,199515
1322 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,17,2027610115,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/16/2017,1015597,238442
3495 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,46,3073630036,03/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/10/2017,1000476,157447
3512 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076970043,02/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/24/2017,1000704,164336
1535 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065640075,02/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/20/2017,991400,163492
1001 TIFFANY STREET,BRONX,02 BRONX,Precinct 41,17,2027150029,03/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1013340,239229
77 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1003060030,10/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2017,986309,200495
223 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004120061,10/12/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,11/03/2017,987992,202427
32 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004430008,10/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2017,986887,203310
105-07 150 STREET,QUEENS,12 QUEENS,Precinct 103,28,4101120068,09/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/31/2017,1039266,192994
2265 EAST TREMONT AVENUE,BRONX,11 BRONX,Precinct 49,13,2040420236,08/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2017,1024194,246153
421 EAST  161 STREET,BRONX,03 BRONX,Precinct 42,17,2023830012,09/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2017,1008279,239495
4909 FARRAGUT ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3047840046,08/10/2017,Closed,Cleaning crew dispatched. No graffiti on property.,10/16/2017,1003774,171512
1467 39 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053470049,09/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/13/2017,989048,171891
908 JENNINGS STREET,BRONX,03 BRONX,Precinct 42,17,2029760081,07/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/11/2017,1014365,242621
1261 BROADWAY,MANHATTAN,05 MANHATTAN,Precinct 14,03,1008330006,07/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2017,987504,211753
1986 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015490001,08/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/21/2017,1006748,186560
668 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026470048,07/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/21/2017,997738,203328
566 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018650060,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/20/2017,998223,186775
34 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004800021,08/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/14/2017,985433,202219
77-20 QUEENS BOULEVARD,QUEENS,04 QUEENS,Precinct 110,25,4024520007,06/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/07/2017,1015921,208294
115-05 15 AVENUE,QUEENS,07 QUEENS,Precinct 109,19,4040670015,08/08/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/07/2017,1025296,224942
21-27 31 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008310020,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/06/2017,1009396,222496
851 EAST  156 STREET,BRONX,02 BRONX,Precinct 41,17,2026880001,08/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2017,1011260,237073
436 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032880015,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/25/2017,1006648,194058
210 EAST  188 STREET,BRONX,05 BRONX,Precinct 46,15,2031520078,07/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2017,1012680,253054
533 BERGEN AVENUE,BRONX,01 BRONX,Precinct 40,17,2022930021,07/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/21/2017,1007195,236404
242 HIMROD STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032790008,07/10/2017,Closed,Cleaning crew dispatched.  Owner refused.,08/14/2017,1006492,194373
2398 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15,2031520046,07/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/11/2017,1012330,252593
146 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003540108,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/10/2017,987796,201760
1564 EAST  174 STREET,BRONX,09 BRONX,Precinct 43,18,2038860001,06/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/08/2017,1017989,243151
1845 ROCKAWAY PARKWAY,BROOKLYN,18 BROOKLYN,Precinct 69,46,3082620006,07/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/01/2017,1013770,171501
1127 61 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,44,3057170068,06/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2017,983470,168980
57 MESEROLE AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025940001,06/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/26/2017,996695,203894
791 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031270032,03/20/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2017,1000614,194658
1818 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076180007,02/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2017,1000906,167191
104-31 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4092000033,07/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/25/2017,1027898,192600
1868 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063710048,08/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/15/2017,983961,160159
2342 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068620042,07/05/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/15/2017,986868,157854
1043 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041710040,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2017,1020152,186393
1573 73 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43,3061910044,09/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/06/2017,984152,164403
46 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004200074,08/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/05/2017,986569,201446
32-02 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006140039,10/22/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2017,1005707,217594
94 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004140057,11/06/2017,Closed,Cleaning crew dispatched.  Owner refused.,11/27/2017,986818,201042
241 MARCUS GARVEY BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016190008,09/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/27/2017,1001074,190498
331 WEST   38 STREET,MANHATTAN,04 MANHATTAN,Precinct 14,03,1007620017,08/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/27/2017,986283,214399
25-92 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,4006540102,10/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/22/2017,1008611,218917
131-13 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,29,4092830023,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2017,1033964,195119
855 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031340002,09/29/2017,Closed,Cleaning crew dispatched.  Owner refused.,11/20/2017,1001359,193844
2926 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042420012,10/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/16/2017,1021997,185762
395 WEST STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006360007,04/18/2017,Closed,Cleaning crew dispatched. No graffiti on property.,07/10/2017,981400,206341
599 WEST  176 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021330030,05/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2017,1001995,247513
87-03 52 AVENUE,QUEENS,04 QUEENS,Precinct 110,25,4018370095,06/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/27/2017,1018530,208094
4215 FARRAGUT ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3049890081,06/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/27/2017,1002013,171367
439 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032890003,04/18/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/27/2017,1006678,194043
285 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017940004,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/21/2017,997768,190257
6724 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055720040,06/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/19/2017,988929,162322
625 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050500002,04/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/13/2017,997273,178393
4091A BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021420109,04/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/12/2017,1001149,246931
42 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003440146,03/27/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/09/2017,988507,201552
221 MULBERRY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004950038,05/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/08/2017,985326,202450
1720 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065730043,03/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/08/2017,994399,163548
5803 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008560007,02/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/08/2017,980069,172639
1754 EAST  174 STREET,BRONX,09 BRONX,Precinct 43,18,2038740047,04/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/31/2017,1020423,243437
3302 THIRD AVENUE,BRONX,03 BRONX,Precinct 42,16,2026070003,02/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2017,1009674,240031
424 AVENUE M,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065670011,03/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/23/2017,992270,163988
856 LONGWOOD AVENUE,BRONX,02 BRONX,Precinct 41,17,2026880048,02/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/16/2017,1011585,237783
38 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003100003,03/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/12/2017,986920,200188
69 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004080019,03/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/10/2017,987094,200645
1252 DECATUR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034360008,02/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2017,1010271,190733
483 FIFTH AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010230007,03/02/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/20/2017,987722,182552
555 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027560038,02/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2017,998003,199437
31-11 21 STREET,QUEENS,01 QUEENS,Precinct 114,22,4005520014,03/01/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/07/2017,1003621,218740
108 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,01,1002390027,10/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2017,985608,200835
477 LIVONIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3037990044,10/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/06/2017,1012063,181173
101 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021270029,10/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2017,1001597,246017
100 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004100071,10/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2017,987331,201143
87-20 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,32,4091500010,10/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2017,1025488,186996
1616 H AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3067000008,10/06/2017,Closed,Cleaning crew dispatched.  Owner refused.,11/01/2017,995040,168833
313 WILSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033070001,10/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2017,1006802,193114
1452 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033080021,09/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2017,1007354,193942
101 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004090043,09/26/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/17/2017,987351,201128
29 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031190025,09/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/16/2017,1000228,195126
1956 CONEY ISLAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066420013,10/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2017,994724,161302
149 AVENUE A,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004370029,07/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2017,989096,204314
441 3 AVENUE,MANHATTAN,06 MANHATTAN,Precinct 17,02,1009110065,07/07/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/29/2017,989873,210167
97 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003480027,08/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/27/2017,988299,201034
1658 PITKIN AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41,3035200039,07/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/26/2017,1008647,183198
556 COURT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39,3003820034,07/16/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/26/2017,984395,185184
150 WEST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,2028790192,08/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/25/2017,1007822,250413
5912 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3057120029,08/15/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/22/2017,985250,168167
283 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033190008,08/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2017,1007695,194184
522 EAST  138 STREET,BRONX,01 BRONX,Precinct 40,08,2022650031,07/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/19/2017,1006767,233413
110 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004100037,07/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/14/2017,987375,201349
550 WEST  157 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,07,1021150005,06/21/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/11/2017,999904,242928
948 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011240023,07/31/2017,Closed,Cleaning crew dispatched.  Property cleaned.,09/01/2017,994580,187297
639 SOUTHERN BOULEVARD,BRONX,02 BRONX,Precinct 41,08,2026830100,07/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/31/2017,1011666,235506
800 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,08,2025810024,02/21/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/29/2017,1010127,235378
2129 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3078900016,06/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/21/2017,1003175,164450
1112 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051640018,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/21/2017,995969,173662
552 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027610020,06/01/2017,Closed,Cleaning crew dispatched. No graffiti on property.,08/17/2017,997960,199431
2192 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3037420022,07/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/10/2017,1014282,184304
424 GRAND CONCOURSE,BRONX,01 BRONX,Precinct 40,17,2023430010,07/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/08/2017,1004155,236867
205 CHESTNUT STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041280001,07/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/08/2017,1018793,188199
6714 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055720037,06/08/2017,Closed,Cleaning crew dispatched.  Owner refused.,08/04/2017,988975,162383
416 WAVERLY AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019610054,06/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/03/2017,993592,189028
772 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,08,2025800024,07/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/01/2017,1009887,235443
1516 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43,3063600043,07/05/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/31/2017,981721,161935
27 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1005080051,06/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/31/2017,985736,202661
954 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025410003,05/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/31/2017,996854,205915
301 WEST   22 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007460038,06/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/28/2017,984418,210633
782 47 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007680039,07/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2017,983542,173591
1951 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3078200052,06/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/21/2017,1001927,165937
180 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004880015,05/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/21/2017,983551,203350
2641 DECATUR AVENUE,BRONX,07 BRONX,Precinct 52,15,2032820057,06/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,07/19/2017,1014739,254033
23 GREENPOINT AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025560050,07/24/2017,Closed,Cleaning crew dispatched.  Property cleaned.,08/16/2017,995331,205112
301 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 9,01,1005210045,08/04/2017,Closed,Cleaning crew dispatched. No graffiti on property.,09/12/2017,986125,203415
459 37 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006970056,09/20/2017,Closed,Cleaning crew dispatched. No graffiti on property.,12/05/2017,983224,177172
286 SOUTH    2 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024210018,10/30/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2017,996302,198398
112-01 95 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4093980035,09/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2017,1030568,191025
2835 WEBB AVENUE,BRONX,08 BRONX,Precinct 50,14,2032500040,11/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/20/2017,1011697,257345
63 JEROME ROAD,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50,5033460064,10/10/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/15/2017,960505,155809
135 HULL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,41,3015330054,05/25/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/27/2017,1008673,186822
415 EAST  140 STREET,BRONX,01 BRONX,Precinct 40,08,2022850086,04/16/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/21/2017,1006090,234413
93 4 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009340003,03/25/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/13/2017,989708,187533
87-17 97 AVENUE,QUEENS,09 QUEENS,Precinct 102,32,4090250020,04/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/12/2017,1024901,188540
215 WEST   83 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,06,1012310026,03/22/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/06/2017,990576,225656
329 WEST   87 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,06,1012490019,02/15/2017,Closed,Cleaning crew dispatched. No graffiti on property.,06/06/2017,990278,227072
23-02 23 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008750039,03/08/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/05/2017,1006993,222691
22-44 29 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008450050,02/28/2017,Closed,Cleaning crew dispatched.  Property cleaned.,06/05/2017,1008377,221958
2115 HONEYWELL AVENUE,BRONX,06 BRONX,Precinct 48,17,2031240001,02/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,05/30/2017,1016868,247293
1031 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012120001,03/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/04/2017,997542,185645
18-55 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008960006,08/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/06/2017,1006740,224135
19 JONES STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005900082,10/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2017,983661,206024
656 MACDONOUGH STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015010002,08/13/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/23/2017,1006509,188398
176 LINDEN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033330017,10/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/19/2017,1007035,192489
295 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032750009,10/02/2017,Closed,Cleaning crew dispatched. No graffiti on property.,10/18/2017,1005098,192407
504 EAST   63 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,1014750005,08/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2017,995961,216570
1984 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3015480033,08/11/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/10/2017,1006595,186571
24-32 21 STREET,QUEENS,01 QUEENS,Precinct 114,22,4008890044,08/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,10/06/2017,1005748,221976
